CONTRATO FD,GRUPO P. 7,,PAGAS EXTRA FD 2 POR S.B,PAGAS EXTRA 2 POR S.B,,,,,,,,,,,,
,COSTE HORA FD 6.192,,SBDIARIO*30DIAS*2 /360DIAS (AÑO),SB*2  / 12 MESES,,,,,,,,,,,,
,,,"2,97 FINIQUITO GESTORIA",,,,,,,,,,,,,
,,,"VACACIONES SIEMPRE SE TOMA (BASE SALARIO + P.P EXTRA + OTROS COMO MEJORAS VOLUNTARIAS * 0,0833333)",,,,,,,,,,,,,
,,,"0,082191781 ES LO QUE GENERA DE VACACIONES POR CADA DIA TRABAJADO",,,,,,,,,,,,,
,,,"0,08219178082",,,,,,,,,,,,,
,,,"SI FUERA UN DIA COMPLETO DE SALARIO SERIA 8*6,192 (49,54)",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DEVENGOS," €  50,00 ",,DEVENGOS," €  60,00 ",,DEVENGOS," €  70,00 ",,DEVENGOS," €  80,00 ",,DEVENGOS," €  90,00 ",,DEVENGOS," €  100,00 "
,,,,,,,,,,,,,,,,
CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO
SALARIO BASE," €  30,96 ",,SALARIO BASE," €  37,15 ",,SALARIO BASE," €  43,34 ",,SALARIO BASE," €  49,54 ",,SALARIO BASE," €  55,73 ",,SALARIO BASE," €  61,92 "
PP. EXTRA," €  5,16 ",,PP. EXTRA," €  6,19 ",,PP. EXTRA," €  7,22 ",,PP. EXTRA," €  8,26 ",,PP. EXTRA," €  9,29 ",,PP. EXTRA," €  10,32 "
TOTAL," €  36,12 ",,TOTAL," €  43,34 ",,TOTAL," €  50,57 ",,TOTAL," €  57,79 ",,TOTAL," €  65,02 ",,TOTAL," €  72,24 "
FINIQUITO," €  2,97 ",,FINIQUITO," €  3,56 ",,FINIQUITO," €  4,16 ",,FINIQUITO," €  4,75 ",,FINIQUITO," €  5,34 ",,FINIQUITO," €  5,94 "
MEJORA VOLUNTARIA," €  10,91 ",,MEJORA VOLUNTARIA," €  13,09 ",,MEJORA VOLUNTARIA," €  15,28 ",,MEJORA VOLUNTARIA," €  17,45 ",,MEJORA VOLUNTARIA," €  19,64 ",,MEJORA VOLUNTARIA," €  21,82 "
TOTAL CON FINIQUITO," €  39,09 ",,TOTAL CON FINIQUITO," €  46,91 ",,TOTAL CON FINIQUITO," €  54,72 ",,TOTAL CON FINIQUITO," €  62,54 ",,TOTAL CON FINIQUITO," €  70,36 ",,TOTAL CON FINIQUITO," €  78,18 "
,,,,,,,,,,,,,,,,
TOTAL CALCULO DEVENGO," €  50,00 ",,TOTAL CALCULO DEVENGO," €  60,00 ",,TOTAL CALCULO DEVENGO," €  70,00 ",,TOTAL CALCULO DEVENGO," €  80,0 ",,TOTAL CALCULO DEVENGO," €  90,00 ",,TOTAL CALCULO DEVENGO," €  100,00 "
TOTAL CALCULO LIQUIDO,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DEVENGOS," €  110,00 ",,DEVENGOS," €  120,00 ",,DEVENGOS," €  130,00 ",,DEVENGOS," €  140,00 ",,DEVENGOS," €  150,00 ",,DEVENGOS," €  160,00 "
,,,,,,,,,,,,,,,,
CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO
SALARIO BASE," €  68,11 ",,SALARIO BASE," €  74,30 ",,SALARIO BASE," €  80,50 ",,SALARIO BASE," €  86,69 ",,SALARIO BASE," €  92,88 ",,SALARIO BASE," €  99,07 "
PP. EXTRA," €  11,35 ",,PP. EXTRA," €  12,38 ",,PP. EXTRA," €  13,42 ",,PP. EXTRA," €  14,45 ",,PP. EXTRA," €  15,48 ",,PP. EXTRA," €  16,51 "
TOTAL," €  79,46 ",,TOTAL," €  86,69 ",,TOTAL," €  93,91 ",,TOTAL," €  101,14 ",,TOTAL," €  108,36 ",,TOTAL," €  115,58 "
FINIQUITO," €  6,53 ",,FINIQUITO," €  7,13 ",,FINIQUITO," €  7,72 ",,FINIQUITO," €  8,31 ",,FINIQUITO," €  8,91 ",,FINIQUITO," €  9,50 "
MEJORA VOLUNTARIA," €  24,00 ",,MEJORA VOLUNTARIA," €  26,19 ",,MEJORA VOLUNTARIA," €  28,37 ",,MEJORA VOLUNTARIA," €  30,55 ",,MEJORA VOLUNTARIA," €  32,73 ",,MEJORA VOLUNTARIA," €  34,92 "
TOTAL CON FINIQUITO," €  86,00 ",,TOTAL CON FINIQUITO," €  93,81 ",,TOTAL CON FINIQUITO," €  101,63 ",,TOTAL CON FINIQUITO," €  109,45 ",,TOTAL CON FINIQUITO," €  117,27 ",,TOTAL CON FINIQUITO," €  125,08 "
,,,,,,,,,,,,,,,,
TOTAL CALCULO DEVENGO," €  110,00 ",,TOTAL CALCULO DEVENGO," €  120,00 ",,TOTAL CALCULO DEVENGO," €  130,00 ",,TOTAL CALCULO DEVENGO," €  140,00 ",,TOTAL CALCULO DEVENGO," €  150,00 ",,TOTAL CALCULO DEVENGO," €  160,00 "
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DEVENGOS," €  170,00 ",,DEVENGOS," €  180,00 ",,DEVENGOS," €  190,00 ",,DEVENGOS," €  200,00 ",,DEVENGOS," €  55,00 ",,DEVENGOS," €  270,00 "
,,,,,,,,,,,,,,,,
CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO,,CONCEPTOS,DEVENGADO
SALARIO BASE," €  105,26 ",,SALARIO BASE," €  111,46 ",,SALARIO BASE," €  117,65 ",,SALARIO BASE," €  123,84 ",,SALARIO BASE," €  34,06 ",,SALARIO BASE," €  167,18 "
PP. EXTRA," €  17,54 ",,PP. EXTRA," €  18,58 ",,PP. EXTRA," €  19,61 ",,PP. EXTRA," €  20,64 ",,PP. EXTRA," €  5,68 ",,PP. EXTRA," €  27,86 "
TOTAL," €  122,81 ",,TOTAL," €  130,03 ",,TOTAL," €  137,26 ",,TOTAL," €  144,48 ",,TOTAL," €  39,73 ",,TOTAL," €  195,05 "
FINIQUITO," €  10,10 ",,FINIQUITO," €  10,69 ",,FINIQUITO," €  11,28 ",,FINIQUITO," €  11,88 ",,FINIQUITO," €  3,27 ",,FINIQUITO," €  16,03 "
