HOJA DE RUTA,,,,,,
Fecha,,,MARTES 20.05.2025   ,,,
Cliente,,,ABAST,,,
Contacto y Mobil,,,NEREA MINET (CLIENTE) 679455268 -ESTHER AGUILAR (PROTOCOL ST. PAU)-639560699,,,
Direccion,,,AVINGUDA ST. ANTONI MARIA CLARET(DELANTE DEL NUMERO 238) ACCESO  2 CASI LLEGANDO A CARTAJENA (100 METROS),,,
Transportista,,,MIGUEL ANGEL ,,,
PERSONAL ,5,,ELVIS + MARI ANGELES + NEREA + EMMY + MAMADOU,,,
RESPONSABLE, OSCAR,,,,,
Nº de personas,45,,,,,
Hora de montaje ,7:30H,OJO!!!!TODOS PUNTUALES ALLI SOLO PODEMOS DESCARGAR EL MATERIAL DE 7 A 9:00H DE LA MAÑANA,,,,
HORA ENTREGA WELCOME + PAUSA INGRID,7:30H,,,,,
HORA WELCOME,9:30H,,,,,
HORA DESAYUNO,11:00H,,SE HACE LOS SERVICIOS EN LAS SALAS AL LADO GALERIA PAU GIL OFFICE EN1902,,,
HORA ENTREGA IDONI BONCOR COMIDA,12:00,CRISTINA,,,,
HORA COMIDA ,13:45,,,,,
Hora de recogida,17:00,,,,,
Mesas rectangulares ,7,,2 BARRA + 3 SOPORTE COMIDA  +  2 COCINA,,,
Mesas redondas altas,4,,,,,
Mesas emplatar,2,,,,,
BIOMBOS,3,,MENÚ WELCOME INGRID 9:30H,,,
Mantel rectangular,6,,Assortiment de galetes ,,90,INGRID
Mantel redondo ,4,,Aigua Mineral en vidre retornable.,,,
Camino BONCOR,5,,Cafè · Tes · Llet . Llets vegetals i Infusions ,OJO!!! NO HAY ZUMOS EN WELCOME,,
HORNO PARA  BROCHETAS,1,,MENÚ PAUSA CAFÈ INGRID 11:00H,,,
LLEVAR BANDEJAS HORNO,4,,Assortiment de mini crusants ,,90,INGRID
LLEVAR GUANTES PARA PAELLA,2,,"mini panets vegetarians, vegans, embotits formatge ",,90,INGRID
COPAS DE AGUA/VINO (3 SERVICIOS),125,,Got de  fruites ecològiques tallades de temporada.,,25,IDONI BONCOR
VASOS BLANCOS CARTON,150,,Got de iogurt amb fruita i/o amb cereals. ,,20,IDONI BONCOR
VASOS CAFÉ CON LECHE CERAMICA (LAVAREMOS EN COCINA),40,OJO!!!,Aigua Mineral en vidre retornable.,,,
VASOS CAFÉ CERAMICA (LAVAREMOS EN COCINA),40,OJO!!!,Sucs de fruita ecològics (Taronja · Poma · Préssec) ,,,
Servilletas (PARA LOS 3 SERVICIOS),200,,Cafè · Tes · Llet . Llets vegetals i Infusions ,,,
SERVILLETEROS JOSE,5,,MENU COMIDA IDONI 13:45H,,,
PLATAFORMAS JOSE PARA PLATO RECTANGULAR,10,,Xips de verdures ecològiques ,,1/2 CAIXA ,FONT HONRADA
"Azucar, azucar moreno + sacarina ",PARA 100,,Mochi de formatge d’ovella ,,50,FONT HONRADA
AZUCAREROS PARA AZUCAR BLANCO + MORENO,4,,Pinxo de truita de patates amb tomàquet Xerry ,,45,IDONI BONCOR
VASOS CAFÉ CERAMICA CAFÉ,40,,Broqueta de salmó  amb formatge  fresc. ,,45,FONT HONRADA
VASOS CAFÉ CON LECHE CERAMICA,40,,Mini panets vegetals de formatge i tonyina ,,100,IDONI BONCOR
CUCHARILLAS METAL CAFÉ,100,,* Assortiment de croquetes grans casolanes ,,100,IDONI BONCOR
CESTAS PARA PONER CUCHARITAS CAFÉ,2,,* Broqueta TEREYAKI,,50,IDONI BONCOR
Infusiones y té PARA 100,2 CAJAS,,* Piruleta farcida de gambes ,,50,IDONI BONCOR
PINCHO MOCHIS,50,,Coca ESCALIVADA,,45,IDONI BONCOR
,,,Assortiment de petit fours ,,90,CANELA FINA
VASOS VIDRIO FRUTA + IOGURT,50,,Refrescos variats.,,,
TOPINS PARA IOGURT,SI,,Aigua mineral en vidre retornable.,,,
CUCHARAS IOGURT,50,,Vi negre Les Gallinetes ecològic DO Conca de Barberà.,,,
TENEDORES VASO FRUTA,50,,Cava Brut Nature ecològic Can Suriol D.O. Penedès,,,
,,,Vi blanc Els nanos ecològic DO Conca de Barberà.,,,
CAFETERAS ,1,,CALENTADOR NEGRO PARA BROU VERDURAS,,,CALENTADOR
Café en polvo + garrafa de agua,4 + 0,ALLI AGUA,BROU DE VERDURES ECOLOGIC,,,
CALIENTA LECHES SON 12 SERVICIOS ,1,,,,,
"CALIENTA AGUA PEQUEÑO DE 1,7L",1,,,,,
TERMOS VACIOS LIMPIOS,3,,,,,
OJO!! LLEVAR INFORMACIÓN CAFÉ ECOLOGICO Y RESPONSABLE,SI,,TERMOS VACIOS,,2,TERMOS
CUCURUCHOS PARA ENSALADILLA RUSA,,,Cafè LO HACEMOS ALLI,,1,CAFETERAS
SOPORTE CUCURUCHO METAL + MADERA,,,Leche CALENTAMOS ALLI ,,1,CALIENTA LECHES
PALILLOS PARA MOCHI,100,,Agua caliente CALENTAMOS ALLI ,,3,TERMOS
BOLES CARTON PARA FIDEUA Y PAELLA,,,Leche de soja + LECHE DE AVENA (PARA LOS 4 DIAS),,4 + 4,BRICKS
TENEDORES Y CUCHARAS ORGANICOS PARA PAELLA Y FIDEUA,,,BOTELLAS VINTAGE PARA SOJA Y AVENA,,2,
CUENCOS PARA FRUTOS SECOS,,,LECHE DE VACA,,8,BOTELLAS OJO!!! SON 2 SERVICIOS
PLATOS MELAMINA,SI,SEGÚN MENÚ,,,,
SARTEN + TAPA + TAPETE FIDEUA (LLEVAR 2 DE CADA),,,AGUA PEQUEÑA PARA PONENTES DE VIDRIO (POR SI ACASO),,12,OJO!!! NO ME HAN PEDIDO
TENEDORES Y CUCHARAS PARA PAELLA ORGANICOS,,,Agua mineral de vidrio 1L,,8,Botellas
CUCHARA GRANDE PARA SERVIR PAELLA,,,EMBUDO + BOTELLAS DE 5 LITROS PARA REPONER,,3,OJO SON 3 SERVICIOS HACE CALOR
BOLS DE CARTRO PARA PAELLA,,,,,,
Guantes de latex,TALLA S + XL,,ZUMOS PARA DESAYUNO ( 5 NARANJA + 4 MELOCOTON),,9,BOTELLAS DE LITRO
Papelera ,2,,BIDONES CON GRIFO + SOPORTE MADERA NUEVOS PARA ZUMOS,,SI,2 BIDONES + SOPORTE 
Papel de manos,SI,,,,,
DISPLAY BONCOR,SI,,,,,
PLATAFORMAS MADERA PARA PLATOS,8,,REFRESCOS,,,
ROLL UP BONCOR,1,,COCA COLA + COCA COLA ZERO,,12 + 5,LATAS
DECORACION PLANTAS JOSE ,4,,Fanta Limon + FANTA LIMON,,3 + 3,LATAS
Bolsas de basura,1 PAQ,,Fanta Naranja ,,,LATAS
Cubitera ,1,,,,,
Pinzas,1,,Hielo ,,6,Sacos
Abridores ,1,,VINO NEGRO ,,6,Botellas
Bandeja de camarero,1,,VINO BLANCO ,,6,Botellas
Litos ,5,,CAVA,,5,LATAS
Ginebra y lito ,1,,Cerveza individual ,,,Botellas
