codi,nom,estat_us,nif,nif_normalitzat,contacte,telefon,mobil,email,web,adreca,poblacio,cp
1,INSERTE,habitual,B-08899595,B08899595,DAVID,938495572,650913790,inserte@inserte.com,https://www.inserte.com/,"Avinguda d'Europa, 31, 08401 Granollers, Barcelona",GRANOLLERS,8401
2,Els llegums SL,habitual,B66190604,B66190604,Josep,93451312,626285402,elsllegums@elsllegums.com,https://elsllegums.com/es/,"C/ d'Entença, 116, L'Eixample, 08015 Barcelona",Barcelona,8015
3,Vipasana Bio (SOL NATURAL),habitual,B61826491,B61826491,Juanmi,937566020,,hola@solnatural.bio,https://solnatural.bio/,"C/ Volta dels Garrofers 64-68, Vilassar de mar",,8340
4,NATURECO SL,inactiu,B60305232,B60305232,Joan,938 30 01 66,620 907 985,info@natureco.cat,https://www.natureco.cat/,"Natureco s.l. Av. del Prat 20-22 08180 Moià, Barcelona",Barcelona,8180
5,BIOCOP PRODUCTOS BIOLÓGICOS,ocasional,A58398819,A58398819,Biocop,938 436 51,938 439 60,consultas@biocop.es,https://www.biocop.es/,"Carrer Puigmal, 3, 08185 Lliçà de Vall, Barcelona",,8185
6,Juan Irigoyen Terradellas,inactiu,A-58398819,A58398819,Juan,,667583178,,,,,
7,Cal Valls Eco SLU,habitual,B25772146,B25772146,Rosa,973 324 125,,https://www.calvalls.com/web/es/,calvalls@calvalls.com,"Camí de la Plana s/n, ES 25264, Vilanova de Bellpuig (Lleida",,25264
8,Frutos secos del pozo SL,ocasional,B08839508,B08839508,David,935 72 04 74,,calvalls@calvalls.com,comercial@frutos-secos-delpozo.com,"Av. del Riu Mogent, 34 - 38, 08170 Montornès del Vallès, Bar",,8170
9,Garcia frutos secos SL,inactiu,B08812661,B08812661,Toni,933 77 98 50,690126587,info@garciafrutossecos.es,https://www.garciafrutossecos.es/,"Carrer d'Antonio de los Rios Rosas, 38, 08940 Cornellà de Ll",,8940
10,Cuinats Jotri SL,habitual,B17209693,B17209693,Xavi,972 39 65 61,670588433,contacte@cuinatsjotri.cat,https://cuinatsjotri.com/,"c/Mas Saguer, 1, 17462 Juià, Girona",,17462
